gene	n_pairs_any	n_variants_any	median_tumor_AF	median_tumor_DP	median_normal_AF	median_normal_DP	pairs_any	caution_reason_symbol	n_pairs_high	n_high	n_pairs_moderate	n_moderate	n_pairs_low	n_low	n_pairs_modifier	n_modifier	n_pairs_low_splice_region	n_low_splice_region	n_pairs_functional_strict	n_functional_strict	n_pairs_functional_extended	n_functional_extended	has_symbol_caution	caution_reason_data	caution_reason	has_caution_flag	unbiased_somatic_gene_score	unbiased_somatic_gene_score_caution_adjusted
ZBTB21	3	3	0.089	184.0	0.017	93.0	candidate_kenya_pair_010,candidate_kenya_pair_013,candidate_kenya_pair_015	.	0	0	3	3	0	0	0	0	0	0	3	3	3	3	False	.	.	False	18	18
RB1	2	2	0.45999999999999996	52.0	0.0345	41.5	candidate_kenya_pair_015,candidate_kenya_pair_018	.	2	2	0	0	0	0	0	0	0	0	2	2	2	2	False	.	.	False	18	18
TAB1	2	2	0.028	406.0	0.0065325	248.0	candidate_kenya_pair_001,candidate_kenya_pair_004	.	2	2	0	0	0	0	0	0	0	0	2	2	2	2	False	.	.	False	18	18
URB1	2	2	0.075	89.0	0.0228475	91.5	candidate_kenya_pair_013,candidate_kenya_pair_019	.	2	2	0	0	0	0	0	0	0	0	2	2	2	2	False	.	.	False	18	18
PCLO	3	6	0.46599999999999997	88.0	0.025	63.0	candidate_kenya_pair_006,candidate_kenya_pair_014,candidate_kenya_pair_019	.	1	1	2	2	1	1	2	2	1	1	2	3	2	4	False	.	.	False	18	18
AC118281.1	3	3	0.054	413.0	0.008208	207.0	candidate_kenya_pair_003,candidate_kenya_pair_007,candidate_kenya_pair_013	noncoding_or_immunoglobulin_like_prefix	1	1	2	2	0	0	0	0	0	0	3	3	3	3	True	.	noncoding_or_immunoglobulin_like_prefix	True	21	16
MUC3A	5	7	0.25	137.0	0.024	55.0	candidate_kenya_pair_001,candidate_kenya_pair_004,candidate_kenya_pair_006,candidate_kenya_pair_013,candidate_kenya_pair_018	.	0	0	2	3	1	1	2	3	1	1	2	3	3	4	False	.	.	False	16	16
FLG	2	7	0.943	554.0	0.005061	295.0	candidate_kenya_pair_006,candidate_kenya_pair_013	.	0	0	2	6	1	1	0	0	0	0	2	6	2	6	False	.	.	False	16	16
BICRA	4	4	0.08349999999999999	78.5	0.04	33.0	candidate_kenya_pair_005,candidate_kenya_pair_010,candidate_kenya_pair_013,candidate_kenya_pair_020	.	0	0	2	2	2	2	0	0	1	1	2	2	3	3	False	.	.	False	15	15
C4orf54	4	4	0.1155	94.5	0.023	55.5	candidate_kenya_pair_006,candidate_kenya_pair_012,candidate_kenya_pair_013,candidate_kenya_pair_018	.	0	0	2	2	2	2	0	0	1	1	2	2	3	3	False	.	.	False	15	15
FBN3	6	7	0.131	111.0	0.036	36.0	candidate_kenya_pair_003,candidate_kenya_pair_006,candidate_kenya_pair_008,candidate_kenya_pair_013,candidate_kenya_pair_017,candidate_kenya_pair_018	.	0	0	2	2	1	1	3	4	1	1	2	2	3	3	False	.	.	False	15	15
HMCN2	4	5	0.07	90.0	0.028	52.0	candidate_kenya_pair_006,candidate_kenya_pair_007,candidate_kenya_pair_013,candidate_kenya_pair_020	.	0	0	2	2	1	1	2	2	1	1	2	2	3	3	False	.	.	False	15	15
L1CAM	4	4	0.0545	152.5	0.020499999999999997	64.0	candidate_kenya_pair_005,candidate_kenya_pair_012,candidate_kenya_pair_017,candidate_kenya_pair_020	.	0	0	2	2	1	1	1	1	1	1	2	2	3	3	False	.	.	False	15	15
MCOLN1	3	3	0.254	108.0	0.022	74.0	candidate_kenya_pair_003,candidate_kenya_pair_006,candidate_kenya_pair_007	.	0	0	2	2	1	1	0	0	1	1	2	2	3	3	False	.	.	False	15	15
MUC16	5	7	0.111	134.0	0.015	90.0	candidate_kenya_pair_008,candidate_kenya_pair_012,candidate_kenya_pair_013,candidate_kenya_pair_014,candidate_kenya_pair_018	.	0	0	2	2	1	2	2	3	1	1	2	2	3	3	False	.	.	False	15	15
NBEAL1	3	3	0.083	84.0	0.036	35.0	candidate_kenya_pair_003,candidate_kenya_pair_005,candidate_kenya_pair_018	.	0	0	2	2	1	1	0	0	1	1	2	2	3	3	False	.	.	False	15	15
PPFIA3	4	4	0.087	92.0	0.028	48.5	candidate_kenya_pair_009,candidate_kenya_pair_010,candidate_kenya_pair_012,candidate_kenya_pair_014	.	0	0	2	2	1	1	1	1	1	1	2	2	3	3	False	.	.	False	15	15
GOLGA2	3	4	0.0905	58.0	0.0535	23.0	candidate_kenya_pair_001,candidate_kenya_pair_003,candidate_kenya_pair_008	.	1	1	1	1	1	1	1	1	1	1	2	2	2	3	False	.	.	False	15	15
MAP4K2	2	3	0.081	49.0	0.061	24.0	candidate_kenya_pair_004,candidate_kenya_pair_014	.	1	1	1	1	1	1	0	0	1	1	1	2	2	3	False	.	.	False	15	15
ADGRB2	3	3	0.114	52.0	0.044	32.0	candidate_kenya_pair_004,candidate_kenya_pair_013,candidate_kenya_pair_019	.	1	1	1	1	0	0	1	1	0	0	2	2	2	2	False	.	.	False	15	15
AGRN	3	3	0.071	70.0	0.027	52.0	candidate_kenya_pair_002,candidate_kenya_pair_011,candidate_kenya_pair_014	.	1	1	1	1	0	0	1	1	0	0	2	2	2	2	False	.	.	False	15	15
ANK2	3	3	0.15	67.0	0.036	40.0	candidate_kenya_pair_007,candidate_kenya_pair_013,candidate_kenya_pair_019	.	1	1	1	1	0	0	1	1	0	0	2	2	2	2	False	.	.	False	15	15
ANKRD11	2	2	0.3035	78.5	0.019	74.5	candidate_kenya_pair_010,candidate_kenya_pair_013	.	1	1	1	1	0	0	0	0	0	0	2	2	2	2	False	.	.	False	15	15
B3GNT3	2	3	0.115	245.0	0.00876	146.0	candidate_kenya_pair_001,candidate_kenya_pair_010	.	1	1	1	1	1	1	0	0	0	0	2	2	2	2	False	.	.	False	15	15
BAIAP2L2	2	2	0.09	54.5	0.051500000000000004	27.0	candidate_kenya_pair_017,candidate_kenya_pair_021	.	1	1	1	1	0	0	0	0	0	0	2	2	2	2	False	.	.	False	15	15
BCAS3	3	3	0.076	69.0	0.026	52.0	candidate_kenya_pair_009,candidate_kenya_pair_015,candidate_kenya_pair_018	.	1	1	1	1	0	0	1	1	0	0	2	2	2	2	False	.	.	False	15	15
BEST3	4	4	0.14550000000000002	101.0	0.015	92.0	candidate_kenya_pair_001,candidate_kenya_pair_008,candidate_kenya_pair_013,candidate_kenya_pair_015	.	1	1	1	1	0	0	2	2	0	0	2	2	2	2	False	.	.	False	15	15
BMPR2	4	4	0.058	140.0	0.0225	66.0	candidate_kenya_pair_008,candidate_kenya_pair_012,candidate_kenya_pair_015,candidate_kenya_pair_019	.	1	1	1	1	0	0	2	2	0	0	2	2	2	2	False	.	.	False	15	15
CARMIL2	2	2	0.09	57.5	0.0375	49.0	candidate_kenya_pair_013,candidate_kenya_pair_018	.	1	1	1	1	0	0	0	0	0	0	2	2	2	2	False	.	.	False	15	15
CD68	2	2	0.07	208.0	0.011554	136.0	candidate_kenya_pair_014,candidate_kenya_pair_021	.	1	1	1	1	0	0	0	0	0	0	2	2	2	2	False	.	.	False	15	15
CDH1	3	4	0.1315	70.5	0.025500000000000002	62.0	candidate_kenya_pair_001,candidate_kenya_pair_013,candidate_kenya_pair_014	.	1	1	1	1	0	0	2	2	0	0	2	2	2	2	False	.	.	False	15	15
CHD2	3	3	0.091	97.0	0.027	46.0	candidate_kenya_pair_010,candidate_kenya_pair_011,candidate_kenya_pair_013	.	1	1	1	1	0	0	1	1	0	0	2	2	2	2	False	.	.	False	15	15
COL18A1	5	7	0.228	71.0	0.027	50.0	candidate_kenya_pair_001,candidate_kenya_pair_006,candidate_kenya_pair_007,candidate_kenya_pair_008,candidate_kenya_pair_013	.	1	1	1	1	0	0	4	5	0	0	2	2	2	2	False	.	.	False	15	15
DNAH1	4	4	0.045	166.5	0.02	74.0	candidate_kenya_pair_003,candidate_kenya_pair_004,candidate_kenya_pair_012,candidate_kenya_pair_014	.	1	1	1	1	0	0	2	2	0	0	2	2	2	2	False	.	.	False	15	15
DZIP1L	5	6	0.154	93.0	0.0325	45.5	candidate_kenya_pair_004,candidate_kenya_pair_006,candidate_kenya_pair_010,candidate_kenya_pair_019,candidate_kenya_pair_020	.	1	1	1	1	0	0	4	4	0	0	2	2	2	2	False	.	.	False	15	15
